UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY,distfrommouth
375000,4266000,CB4MH,34.44882,1e+06,10.35,45.3,375000 4266000,10.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,31.16798,1e+06,10.4,45.3,375000 4266000,9.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,37.72966,1e+06,10.23,45.9,375000 4266000,11.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,21.32546,1e+06,10.45,45.3,375000 4266000,6.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,24.6063,1e+06,10.45,45.3,375000 4266000,7.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,1.64042,1e+06,10.45,45.3,375000 4266000,0.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,41.0105,1e+06,10.14,46.1,375000 4266000,12.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,50.85302,1e+06,9.71,47.6,375000 4266000,15.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,18.04462,1e+06,10.45,45.3,375000 4266000,5.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,8.2021,1e+06,10.45,45.3,375000 4266000,2.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,27.88714,1e+06,10.45,45.3,375000 4266000,8.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,47.57218,1e+06,9.88,47,375000 4266000,14.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,11.48294,1e+06,10.45,45.3,375000 4266000,3.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,14.76378,1e+06,10.45,45.3,375000 4266000,4.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,67.25722,1e+06,9.39,48.4,375000 4266000,20.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,54.13386,1e+06,9.51,48.1,375000 4266000,16.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,57.4147,1e+06,9.41,48.4,375000 4266000,17.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,60.69554,1e+06,9.4,48.4,375000 4266000,18.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,63.97638,1e+06,9.4,48.4,375000 4266000,19.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,4.92126,1e+06,10.45,45.3,375000 4266000,1.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4266000,CB4MH,44.29134,1e+06,10.03,46.4,375000 4266000,13.5,Suitable,dodgerblue,YES,233.014125,2650.768686,42.8745989999998
375000,4267000,CB4MH,8.2021,1e+06,10.42,45.6,375000 4267000,2.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,1.64042,1e+06,10.42,45.6,375000 4267000,0.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,11.48294,1e+06,10.42,45.6,375000 4267000,3.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
375000,4267000,CB4MH,44.29134,1e+06,10.03,46.4,375000 4267000,13.5,Suitable,dodgerblue,YES,233.014125,2651.390057,43.49597
